Year,d18O,netBal,dust,Fluoride,chloride,sulfate,nitrate,sodio,amonio,potasio,magnesio,calcio,ELARRAS,RBPP-J,RLSAL-S,FDR-S,LL-Salta,RBlan-J,FLPich-S,DQESC-T,RHorq-Tuc,Puerto Cafe,Rio Motoco,Rio Cisne,La Esperanza,DDmaTD,CH4 Law,CO2 Law,DD DC ,D18-0 DC,DEx DC
442,-17.62,,18500,0.00,11.70,0.00,5.64,0.00,38.80,0.00,0.00,0.00,971,1041,1769,696,1242,687,363,1201,1218,944,446,731,743,-282.71,745.79,284.1,-392.9,-50.37,7.8
443,-17.33,,29170,0.00,13.75,0.00,1.51,0.00,34.89,0.00,0.00,0.00,913,931,2035,606,-772,975,142,1970,1316,1438,376,1061,1069,-282.61,745.43,284.06,-392.88,-50.38,7.79
444,-17.26,,22820,0.00,15.24,0.00,0.00,0.00,37.50,0.00,0.00,0.00,916,834,2680,752,-1913,981,-510,3009,1559,1618,337,1030,825,-282.5,745.03,284.02,-392.86,-50.38,7.78
445,-17.95,,29280,0.00,17.19,0.00,0.00,0.00,39.79,0.00,0.00,0.00,1032,1046,1316,873,899,793,1331,937,1014,764,266,1104,957,-282.4,744.58,283.96,-392.84,-50.38,7.77
446,-18.28,,27240,0.00,15.29,0.00,0.00,0.00,33.55,0.00,0.00,0.00,862,898,1266,1476,702,460,1645,1092,1293,1034,223,904,1191,-282.29,744.08,283.9,-392.81,-50.39,7.75
447,-18.44,,12020,0.00,12.98,0.00,0.00,0.00,31.44,0.00,0.00,0.00,936,907,1089,253,577,1043,1045,759,1030,1213,556,1167,1220,-282.17,743.53,283.82,-392.79,-50.39,7.74
448,-18.02,,21600,0.00,11.96,0.00,0.00,0.00,33.46,0.00,0.00,0.00,1209,1102,2373,1458,974,694,-1047,1074,940,584,266,1134,356,-282.05,742.92,283.71,-392.77,-50.4,7.73
449,-18.35,,23580,0.00,10.52,0.00,0.00,0.00,29.51,0.00,0.00,0.00,1071,1117,2139,909,1143,478,330,1074,997,625,160,945,739,-281.92,742.25,283.58,-392.75,-50.4,7.72
450,-18.62,,22500,0.00,9.02,0.00,0.00,0.00,28.24,0.00,0.00,0.00,1045,1075,1562,670,873,708,18,1055,1135,1017,438,1043,732,-281.79,741.52,283.42,-392.73,-50.41,7.7
451,-18.34,,25840,0.00,10.47,0.00,0.00,0.00,27.99,0.00,0.00,0.00,1109,1065,1536,876,1534,545,1056,1186,793,568,419,1027,836,-281.65,740.71,283.22,-392.7,-50.41,7.69
452,-18.07,,30580,0.00,10.53,0.00,0.00,0.00,26.44,0.00,0.00,0.00,966,999,1665,681,1468,403,1130,1089,919,719,364,783,876,-281.51,739.83,282.97,-392.68,-50.41,7.68
453,-18.69,,29520,0.00,11.54,0.00,0.00,0.00,30.81,0.00,0.00,0.00,951,1019,1168,948,845,710,1359,928,1110,854,211,1058,1020,-281.36,738.86,282.67,-392.66,-50.42,7.67
454,-19.05,,19740,0.00,12.75,0.00,2.01,0.00,32.86,0.00,0.00,0.00,968,1097,1238,1087,1172,603,1445,1070,977,719,133,1029,1063,-281.2,737.81,282.32,-392.64,-50.42,7.65
455,-18.19,,19880,0.00,8.97,0.00,0.00,0.00,28.78,0.00,0.00,0.00,932,1003,2049,891,-2419,583,-2847,2665,1782,1331,117,886,938,-281.04,736.67,281.93,-392.62,-50.43,7.64
456,-17.85,,21810,0.00,7.48,0.00,0.00,0.00,23.43,0.00,0.00,0.00,885,904,1860,367,-1371,707,-193,2047,1278,1393,309,979,1245,-280.87,735.43,281.51,-392.6,-50.43,7.63
457,-17.89,,32300,0.00,7.47,0.00,0.00,0.00,23.05,0.00,0.00,0.00,774,898,776,993,87,685,1855,945,1128,1118,160,1075,1337,-280.7,734.1,281.11,-392.57,-50.44,7.62
458,-17.89,,27320,0.00,7.67,0.00,0.00,0.00,22.06,0.00,0.00,0.00,876,969,1534,734,-2403,984,11,1379,1185,1258,145,1161,1250,-280.52,732.67,280.76,-392.55,-50.44,7.6
459,-18.05,,33160,0.00,7.27,0.00,0.00,0.00,21.50,0.00,0.00,0.00,1104,1278,2064,768,-217,355,-2155,1432,1561,854,106,975,770,-280.33,731.14,280.47,-392.53,-50.45,7.59
460,-18.36,,26160,0.00,11.70,0.00,5.64,0.00,38.80,0.00,0.00,0.00,880,1011,1714,1030,-1017,226,-1143,1981,1629,1163,133,855,1019,-280.14,729.51,280.26,-392.51,-50.45,7.58
461,-18.12,,35960,0.00,14.04,0.00,3.01,0.00,38.54,0.00,0.00,0.00,980,1093,1672,593,-2479,1021,-1175,1415,1330,1164,117,1173,1032,-279.95,727.79,280.14,-392.49,-50.45,7.56
462,-17.76,,25800,0.00,13.45,0.00,0.00,0.00,31.23,0.00,0.00,0.00,1026,1080,2174,-12,-2961,1294,-1970,1899,1224,1334,204,1207,968,-279.75,725.97,280.09,-392.46,-50.46,7.55
463,-17.39,,28840,0.00,16.69,0.00,0.00,0.00,39.77,0.00,0.00,0.00,1108,1051,1316,8,-451,1297,40,936,1098,1165,403,1398,1114,-279.55,724.07,280.09,-392.44,-50.46,7.54
464,-17.68,,41800,0.00,16.23,0.00,0.00,0.00,37.53,0.00,-0.04,0.00,1062,1151,1204,749,-26,932,515,1055,1186,820,137,1237,1078,-279.34,722.09,280.13,-392.42,-50.47,7.53
465,-17.17,,32560,0.00,14.14,0.00,0.00,0.00,32.50,0.00,-0.02,0.00,1040,1124,1790,378,-1110,887,-1187,1355,1324,1124,223,1134,932,-279.13,720.04,280.2,-392.4,-50.47,7.51
466,-16.00,,33440,0.00,11.90,0.00,0.00,0.00,33.96,0.00,0.00,0.00,962,1001,1621,92,-1096,1058,-207,1286,1152,1253,309,1172,1032,-278.92,717.94,280.28,-392.38,-50.48,7.5
467,-16.09,,27420,0.00,12.02,0.00,0.00,0.00,32.95,0.00,0.00,0.00,965,1097,1092,145,-64,1253,2100,555,1052,944,239,1435,1254,-278.71,715.81,280.37,-392.36,-50.48,7.49
468,-17.36,,30170,0.00,9.77,0.00,0.00,0.00,28.88,0.00,0.00,0.00,863,979,1680,1206,-1170,593,292,1425,1432,1168,117,983,1109,-278.5,713.65,280.46,-392.33,-50.48,7.48
469,-18.31,,31440,0.00,9.02,0.00,0.00,0.00,26.19,0.00,0.00,0.00,1043,1139,1526,890,603,659,796,1057,1081,719,137,1113,972,-278.28,711.49,280.55,-392.31,-50.49,7.46
470,-18.32,,27840,0.00,11.22,0.00,0.00,0.00,28.12,0.00,0.00,0.00,874,937,1978,703,-2322,1176,655,1353,1120,1348,176,1187,1194,-278.07,709.35,280.63,-392.29,-50.49,7.45
471,-17.65,,34780,0.00,11.54,0.00,0.00,0.00,30.81,0.00,0.00,0.00,921,984,1097,413,121,1087,1647,598,1079,1006,278,1247,1152,-277.86,707.24,280.69,-392.27,-50.5,7.44
472,-17.35,,24760,0.00,7.73,0.00,0.00,0.00,23.15,0.00,-0.01,0.00,993,1131,1558,1084,-110,800,1117,936,1195,781,67,1122,894,-277.65,705.18,280.75,-392.25,-50.5,7.43
473,-17.44,,23000,0.00,13.37,0.00,2.01,0.00,35.68,0.00,0.00,0.00,883,926,1534,-2,-48,660,635,1978,1331,1432,501,837,1088,-277.44,703.19,280.79,-392.22,-50.51,7.41
474,-18.56,,48120,0.00,7.58,0.00,0.00,0.00,21.80,0.00,0.00,0.00,934,953,1188,490,735,825,1283,735,1076,989,391,1104,1037,-277.21,699.94,280.82,-392.2,-49.95,7.4
475,-19.05,,37080,0.00,7.42,0.00,0.00,0.00,24.06,0.00,0.00,0.00,904,891,1035,126,629,886,1163,616,1033,1168,560,1120,1205,-277.06,699.63,280.86,-392.23,-49.95,7.39
476,-18.88,,41680,0.00,7.67,0.00,0.00,0.00,22.06,0.00,0.00,0.00,899,924,1543,10,-420,1318,968,1075,989,1380,423,1210,1117,-276.94,699.28,280.9,-392.25,-49.95,7.38
477,-18.63,,36440,0.00,7.27,0.00,0.00,0.00,21.50,0.00,0.00,0.00,1008,1051,1060,547,587,1198,1480,705,1030,902,391,1333,1095,-276.84,698.92,280.93,-392.28,-49.96,7.37
478,-18.40,,33860,0.00,9.00,0.00,0.00,0.00,28.61,0.00,0.00,0.00,901,932,1366,429,347,820,918,1035,1165,1196,407,1019,1091,-276.77,698.53,280.96,-392.31,-49.96,7.36
479,-17.89,,30360,0.00,8.19,0.00,0.00,0.00,25.28,0.00,0.00,0.00,968,1016,1490,682,1143,641,762,915,1120,915,407,922,866,-276.72,698.13,280.99,-392.34,-49.96,7.35
480,-17.69,,26220,0.00,7.56,0.00,0.00,0.00,24.85,0.00,0.00,0.00,978,1040,1443,1034,1390,1060,893,963,927,646,505,731,587,-276.69,697.71,281.01,-392.36,-49.96,7.34
481,-17.75,,16420,0.00,8.46,0.00,0.00,0.00,29.69,0.00,0.00,0.00,991,1052,1610,898,1420,824,777,925,997,736,438,818,618,-276.69,697.29,281.03,-392.39,-49.97,7.34
482,-17.18,,25250,0.00,9.97,0.00,0.00,0.00,29.67,0.00,0.00,0.00,973,1071,1439,901,1334,861,639,926,1044,859,497,788,588,-276.7,696.87,281.05,-392.42,-49.97,7.33
483,-16.76,,32480,0.00,7.83,0.00,0.00,0.00,24.27,0.00,0.00,0.00,953,1045,1475,737,1266,744,605,1001,1141,947,462,799,709,-276.74,696.44,281.07,-392.44,-49.97,7.32
484,-16.47,,15630,0.00,16.29,0.00,5.93,0.00,39.13,0.00,0.23,0.00,904,906,1142,480,926,645,1197,827,1111,1048,505,927,1059,-276.79,696.02,281.08,-392.47,-49.97,7.31
